accuracy: 	0.078125	loss: 	2.3353996
accuracy: 	0.09375	loss: 	2.3026257
accuracy: 	0.140625	loss: 	2.28493
accuracy: 	0.15625	loss: 	2.2363107
accuracy: 	0.140625	loss: 	2.2159266
accuracy: 	0.390625	loss: 	2.086463
accuracy: 	0.375	loss: 	1.9727557
accuracy: 	0.375	loss: 	1.8240416
accuracy: 	0.375	loss: 	1.6314633
accuracy: 	0.515625	loss: 	1.3796817
accuracy: 	0.46875	loss: 	1.2855128
accuracy: 	0.5625	loss: 	1.2179122
accuracy: 	0.515625	loss: 	1.3892331
accuracy: 	0.5625	loss: 	1.1688895
accuracy: 	0.5625	loss: 	1.0936031
accuracy: 	0.5	loss: 	1.1949575
accuracy: 	0.546875	loss: 	1.2636838
accuracy: 	0.671875	loss: 	1.037262
accuracy: 	0.703125	loss: 	0.92327344
accuracy: 	0.59375	loss: 	1.0304266
accuracy: 	0.609375	loss: 	1.1096855
accuracy: 	0.65625	loss: 	0.94370055
accuracy: 	0.65625	loss: 	0.9214809
accuracy: 	0.546875	loss: 	1.0246098
accuracy: 	0.671875	loss: 	0.7666666
accuracy: 	0.71875	loss: 	0.9885466
accuracy: 	0.734375	loss: 	0.7145742
accuracy: 	0.640625	loss: 	0.8537494
accuracy: 	0.546875	loss: 	0.84886456
accuracy: 	0.640625	loss: 	1.2062181
accuracy: 	0.71875	loss: 	0.81983244
accuracy: 	0.6875	loss: 	0.85065365
accuracy: 	0.671875	loss: 	1.1073526
accuracy: 	0.609375	loss: 	0.9192169
accuracy: 	0.703125	loss: 	0.74194014
accuracy: 	0.71875	loss: 	0.79441357
accuracy: 	0.6875	loss: 	0.9032249
accuracy: 	0.71875	loss: 	0.7966505
accuracy: 	0.859375	loss: 	0.487597
accuracy: 	0.734375	loss: 	0.6929918
accuracy: 	0.671875	loss: 	0.83238924
accuracy: 	0.734375	loss: 	0.7955413
accuracy: 	0.921875	loss: 	0.3355027
accuracy: 	0.65625	loss: 	0.85763454
accuracy: 	0.703125	loss: 	0.79971063
accuracy: 	0.8125	loss: 	0.6871315
accuracy: 	0.703125	loss: 	0.796407
accuracy: 	0.71875	loss: 	0.77821183
accuracy: 	0.84375	loss: 	0.68029386
accuracy: 	0.75	loss: 	0.6577872
accuracy: 	0.765625	loss: 	0.7694987
accuracy: 	0.765625	loss: 	0.6316079
accuracy: 	0.703125	loss: 	0.78785074
accuracy: 	0.75	loss: 	0.7472704
